##Data Table S3. List of differentially expressed genes and which cell type(s) they are differentially expressed in.,,,,,,,,,,,,,,,,,,,,,,,
,B-Asian,B-European,NK-Asian,NK-European,PB-Asian,PB-European,Progen-Asian,Progen-European,Prolif-Asian,Prolif-European,T4-Asian,T4-European,T8-Asian,T8-European,cDC-Asian,cDC-European,cM-Asian,cM-European,ncM-Asian,ncM-European,pDC-Asian,pDC-European,Module
IFITM2,0.246596841,0.407372903,,,,,,,,,,0.207816376,0.302357291,,0.579638838,0.451048194,0.429252467,0.476891105,,,,,Up-Pan
IFITM3,,,0.485047508,0.456719324,,,,,,,0.423027714,0.256792523,0.269482825,,1.526761158,1.721954757,1.094358479,1.422498919,0.681362581,0.802611229,,,Up-Monocyte
IFNGR1,,,,-0.791540223,,,,,,,,,-0.652757205,,,,,,,,,,Up-Monocyte
IGJ,-0.421304479,-0.516715791,,,,,,,,,,,,,,,,,,,,,Down-Monocyte
IL1B,,,,,,,,,,,,,,,,,-1.133484591,-0.594724214,,,,,Up-B
IL8,,,,,,,,,,,,,,,,,-1.102289765,-0.622091566,,,,,Up-T
ILF3-AS1,-0.367974972,,,,,,,,,,-0.398634988,-0.186408011,-0.647283985,,,,,,,,,,Up-B
IRF7,0.688931165,0.835532342,,,,,,,,,0.673736187,0.735916048,0.703307213,0.765588488,,,0.820348006,1.131400754,0.477731187,0.767296629,0.329632246,0.360900899,Up-Pan
IRF9,,,,,,,,,,,,0.452656095,0.455158507,0.554024811,,,,0.635495607,,,,,Up-Pan
ISG15,0.744569466,0.950774899,0.862709093,0.888678414,,,,,1.032753635,,1.089060851,1.064974804,0.887320093,0.86053275,1.129471341,1.529657314,1.128331346,1.541481421,1.268423094,1.562927594,,,Up-Pan
ISG20,0.325410278,0.342104264,0.601530669,0.427299103,,,,,0.703944815,,0.304474443,0.275438977,0.284799723,,,,0.54649269,0.645098356,,0.823081926,,,Up-Pan
ITGA4,,,,-0.234893855,,,,,,,0.338206151,0.567618595,0.304999322,,,,,,,,,,Up-Pan
ITGAE,,,,-0.366663931,,,,,,,-0.231612338,,,,,,-0.424031413,-0.594270908,,,,,Down-Pan
ITGB7,,,,0.337048204,,,,,,,0.255172388,,0.345019733,,,,,0.543654351,,,,,Up-Pan
JAK2,,,,,,,,,,,,,,,,,,0.628868938,,,,,Up-Pan
JUN,,,-0.866669129,,,,,,,,-0.350973156,,-0.724893012,,-0.610597455,,-0.623581314,-0.477718271,,,,,Up-B
JUNB,,,-0.444318036,-0.314389738,,,,,,,-0.319133537,,-0.536383543,,-0.47410681,,-0.300277317,,-0.414009459,-0.19030551,,,Up-B
JUND,-0.398395333,-0.296984226,-0.343704067,,,,,,,,,,-0.342875704,,-0.365300958,,-0.64493331,-0.382002122,-0.307244896,-0.274809756,,,Up-T
KIF22,,,,,,,,,,,,,,,,,-0.619521995,-0.622562395,,,,,Down-Monocyte
KLF4,,,,,,,,,,,,,,,-0.435335845,,-0.539872233,,,,,,Up-T
KLF6,,,-0.662723113,-0.28072416,,,,,,,,,,,-0.399237658,,-0.462274401,,-0.283377682,,,,Up-B
KLRB1,,,,,,,,,,,,,-1.163074646,-0.773108395,,,,,,,,,Down-Pan
KLRC1,,,,,,,,,,,,,-1.004933672,,,,,,,,,,Down-Pan
KLRG1,,,,,,,,,,,0.442931918,0.516712728,,,,,,,,,,,Down-Pan
KRT10,,,,-0.294292908,,,,,,,-0.232166645,-0.160768574,,,,-0.266152339,-0.459263306,-0.456737889,-0.493994854,-0.507766413,,,Down-Pan
LACTB2,,,,,,,,,,,,,,,,,,0.555575259,,,,,Up-Monocyte
LAG3,,,,,,,,,,,,,,0.544602186,,,,,,,,,Up-T
LAIR1,,,,,,,,,,,,,,,,,0.503971059,0.540097043,,,,,Up-Monocyte
LAIR2,,,,,,,,,,,,-0.766642044,,,,,,,,,,,Up-T
LAP3,,,,,,,,,,,0.438999566,0.506634574,0.520289539,0.38063129,,0.729896142,0.728029982,0.885677408,0.580119972,0.769209905,,,Up-Pan
LDHA,,0.188568755,,-0.149333116,,,,,,0.565292332,0.235722917,0.178181931,0.235311398,,,,,,,,,,Up-Pan
LGALS1,,,,0.606630335,,,,,,,,,,,,,,,,,,,Up-Monocyte
LGALS2,,,,,,,,,,,,,,,,,0.663083682,,,,,,Up-Monocyte
LGALS3BP,,,,,,,,,,,0.500157898,0.643250587,,,,,1.443932058,2.045935612,,,,,Up-Monocyte
LGALS9,0.38536389,0.496185112,,,,,,,,,0.444156043,0.594536344,,,,0.399130045,0.370702346,0.365396254,,0.290622752,,,Up-Pan
LILRA3,,,,,,,,,,,,,,,,,1.237031761,,1.321394773,,,,Up-Monocyte
LINC00649,,,,,,,,,,,,-0.199603791,-0.534407508,,,,,,,,,,Down-Pan
