,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30
40,LTB,CIITA,AC007880.1,MCM7,DSG2,SAMD3,CLIC3,TNFRSF17,TIE1,TNFSF15,IL2RA,CD40LG,CCNA2,AK8,SAMD3,ADORA3,LXN,HLA-DQA1,PBX1,PNOC,BANK1,ITGB8,E2F1,MKI67,CXCL1,TYMS,SAMD3,TVP23A,S100A16,CLIC3
41,TYMS,GZMM,GBP5,NELL2,CCL17,EGFL7,MS4A1,GZMA,CCNA2,CCL3,YES1,IDO1,HIST1H4C,TAGLN3,BIRC3,THBS1,ADORA3,LOR,TK1,INHBA,KLRB1,SLC39A8,GBP4,PRC1,DUSP4,SAMD3,CD96,LTB,INHBA,MT1H
42,IL2RA,NREP,MT2A,IL32,FSCN1,GIMAP7,BLK,EPSTI1,AC007880.1,C1QA,PRKCQ-AS1,YES1,YES1,CCL3,GZMK,GZMH,KIF11,IL7R,CYTL1,AL928768.3,CDK1,FAM131C,NDRG2,IKZF2,VMO1,NUSAP1,CLIC3,CIITA,CCL3,CD247
43,SELL,NDFIP2,GNLY,MT1X,MS4A1,PIK3IP1,LYPD3,CST7,IGJ,SLC30A3,MYB,CTSW,CDCA3,TIE1,KLRC1,NELL2,ASPM,ENHO,EGFL7,GTSE1,CD27,NREP,CD2,CDC20,PRF1,CXCL9,HOPX,IRF4,SLC1A2,CXCR3
44,TNFRSF9,SIGLEC1,GZMH,SPOCK2,LXN,CTSW,CD79A,NKG7,IL2RA,CCND1,PTGIR,IFNG,RSAD2,SLC40A1,GZMM,PIK3IP1,CXCL5,GBP4,FAM117A,GBP5,PKIG,MYB,HIST1H4C,CDCA8,CST7,HAPLN3,EOMES,GBP1,GZMB,TCF7
45,CDT1,TRIM54,SIGLEC1,TESC,POGLUT1,SH2D2A,CCL5,RSAD2,CD79B,NES,IKZF2,CCL19,NREP,ALOX15B,BCL11B,TCF7,CDCA8,CXCL9,C12orf75,TNFRSF17,MT1F,BCL11B,DSG2,HIST1H1B,AC017002.1,GZMM,IKZF2,KLRD1,ENHO,CD96
46,IL7R,MS4A6A,ANKRD22,KLF1,CALCRL,CD96,GCSAM,CXCL1,BIRC5,CXCL1,LTA,IKZF2,NUSAP1,GPR34,CXCL5,DUSP4,CCNA2,IL2RA,IKZF2,RSAD2,UBE2C,GIMAP7,CD3D,KIF23,IL7R,CCL4,GZMA,SPIB,NUSAP1,CAMK4
47,PASK,CXCL1,IGJ,CD34,FAM131C,LINC00176,PKIG,CD19,PKIG,GBP1,SIGLEC1,NDFIP2,ITM2A,TNFSF15,NREP,CD27,CDCA3,CST7,LXN,TEX9,TNFRSF17,CYP27B1,LTA,PKIG,NKG7,CXCL10,GZMK,TESC,KLRC2,SLC1A2
48,BIRC5,TYMS,GZMA,GIMAP7,PTGIR,FAM131C,BIRC3,RP11-693J1,CD19,CD79B,CTSW,GZMH,FSCN1,GCSAM,CAMK4,SCN11A,TOP2A,CYP27B1,CD34,NKG7,ANKRD22,C1QA,GINS2,CENPE,IKZF2,KIAA0101,KLRC2,GNLY,SLC40A1,ITM2A
49,OCIAD2,EOMES,SPIB,TSHZ2,GCSAM,CAMK4,SLC40A1,CCL22,ITM2A,VPREB3,NREP,TESC,CTSW,S100A16,GZMH,SH2D2A,SLC40A1,HAPLN3,DSCC1,SPIB,SCN11A,ITIH3,GBP1,HOPX,PYHIN1,C12orf75,KLRB1,NKG7,CDK1,NKG7
