,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25
ARHGAP11A,0.011390693703137816,-0.0034349255521284356,0.0044887658446235495,-0.003024025460711634,-0.0014660418528142964,-0.009641806751537807,-0.008458895566703024,0.008607394489731563,0.01974838026106858,-0.0008542792465323566,-0.016493811339709417,0.0019405263069700103,-0.027250161107541082,0.004451220122591166,-0.00069383801658461,0.015566576153630624,0.09938908203237809,0.002715703373068464,0.012530389871243826,0.03697473051773953,0.019623757954111656,-0.007643746641404846,0.004619151626241259,0.007364360479196358,0.0006770207123922932
CDC20,0.00321103577800705,-0.009716802434773337,0.002450577854061207,0.0022069438517658426,0.006775258169281236,0.013966462270255216,0.0031985498306827662,-0.008714425405493845,0.004188064305961803,0.002360709956904744,-0.03504346194840445,-0.00851834811579855,-0.014803253259414886,-0.00989157594712834,0.0013720573639875782,0.022195523349865885,0.1221468631490412,0.006137533924538767,-0.01176474726071774,0.02500687493546793,0.008027178159012407,0.0034350813712216936,0.002023884962610118,0.002335208514385093,-0.0016130978386316348
PLK1,0.0016490677063520647,0.004051483724823727,-0.002286223600640545,0.006283858662970073,0.004072360330360771,-0.004156098141192939,-0.004265109509409084,0.00515368027021402,-0.0020931388802193133,-0.002154080654310015,-0.022545705317021523,-0.0002515574857457693,-0.029098285914453376,-0.00918550981049247,-0.0011484579946236032,0.008205924049405367,0.12501430604171854,0.004948067436795067,-0.006403428767703004,-0.0024844558206939564,0.0006992945837757512,0.0036733667430656268,0.0010068910733717872,0.003383591933257342,0.0012393913610594311
CCNB1,0.0057326578857805725,0.02254915709925096,-0.0038528688352514632,0.01032773074723495,0.008445205874698398,-0.00858176777535571,-0.013350908791981503,0.0016124746079107233,-0.0192926845266386,-0.00026325483790177524,-0.038808537765365664,0.013343296608185918,-0.01796382362571515,-0.0005782722110813735,0.000534503453142609,0.020944184714075005,0.12840990889395834,-0.006407470651746651,0.0003498676740028287,0.002370527827205618,0.002334897276413929,-0.000916394443107095,2.220260308140627e-05,-0.002791557666554433,0.006042003714498285
CENPE,-0.0008792291626729107,0.006052041289578526,-0.007579249330902726,0.005565673782868579,-0.0018383130984881673,0.00017665042004459946,0.0069624320349686445,-0.006997268565099329,-0.00730548749933423,-0.009582029282595604,-0.05182269733525463,-0.008568132651047526,0.012504997531523026,-0.008778391057279988,-0.00011415769527097358,0.01991536965646679,0.12056220089035352,0.04375166528829447,-0.007251170433075289,0.008894958926229737,0.002035280504844464,0.0046250582530478436,0.002237660143710642,0.007468724190891565,-0.0084034247998138
NUF2,0.004580986030010153,0.004943094263480125,-0.004439759919006516,0.005594611744479682,0.00374794285977858,0.002195275783104054,0.0010865199957545866,0.0011490237942826825,-0.004593717273210428,0.00019794646055988052,-0.04016634936045677,-0.001021437215700788,0.014423510591955865,-0.001955422458213168,0.001823432995137795,0.020579743240216136,0.0866868411476036,0.00567816698938426,-0.0024834413853138124,0.011338353490322675,0.0036806411540795743,0.0030574384738783753,0.00015637866886748807,0.0034784394172646424,-0.0008209369931758099
PRC1,0.009483891727502105,0.004492347522912399,-0.0028914566663365946,-0.0030875860394606763,0.0006956181963308328,-0.005593901587216783,-0.00353855370514203,0.0036403336344975053,-0.000379428930219904,-0.0055480097786963925,-0.04223354533658087,-0.0019105154453456339,0.014591807094771373,-0.005450873362938429,0.00015306558814797913,0.04207750334795794,0.09044497194907823,0.0006768246126160133,-0.004382558489014648,0.012908892456854053,0.011691789785242603,-0.0024372893905166802,0.0003733687994726335,0.0073880714264677955,-0.0034303588706875118
KIF23,-0.0006681447735027719,-0.001290701587319303,-0.00043194574293880123,-0.0034311355698971027,0.004671416549898268,-0.0003996486232693597,-0.00039807952949888275,-0.005425080702681344,-0.010507604205546407,-0.00871879737588011,-0.0623046958310949,0.002064442455271619,0.03579651416208707,0.0058348582112338915,-0.002004964789180315,0.029866270856212827,0.0967356246236081,-0.008957211553104954,-0.01012385751480042,0.004653851311551665,0.012672214941906025,-0.0020046951654160974,0.002330588115063438,0.006717844429002494,0.0039539410935927185
HMMR,0.005152583170551049,0.006947387955841633,-0.002610799917734813,0.0040360660332877975,0.00669644574524358,-0.001087725993012582,-0.007822266999555103,-0.0017596917542852914,-0.008839412965297454,-0.008477983615293483,-0.062203602881761424,0.005704145011782882,0.05598189137670218,0.0014756964218955364,-0.0016294568273457065,0.027737900376446436,0.09151785654200027,-0.007417990062498837,-0.003950586424792674,0.0025096704618965083,0.00859690889606282,-0.003465345651718732,0.00084021984671278,0.004036629952850505,0.004038689045712457
TPX2,0.010405752496820232,0.010250897575622833,-0.0026145150596295153,0.0033680869891079923,0.005840971130228179,-0.006927114835756478,-0.005519656382273688,0.002252042713355594,-0.007686139431039965,-0.006848676733019922,-0.06799375517430008,0.0013573074161120898,0.009966115428827468,0.0019217976079627312,-0.0009552511092531882,0.05833790608778732,0.147447438145142,-0.002348588168863262,-0.006043870562277761,0.016264195431555408,0.006048147936442123,-0.0048411192896157815,-0.0008499655497905529,0.009823960547460963,-0.0010276665528842603
NUSAP1,0.002159446513258697,0.0008837788124801889,-0.005308871187830043,-0.0031568363589311766,-0.001506871867711702,0.004230355244405238,0.004620485006570824,-0.0015042505394407652,-0.0020935067631312407,-0.007808625177727819,-0.0772136480422071,0.001512128614241358,0.04310950535404629,-0.001824643255970918,0.0016094513871836265,0.06603732499298208,0.11321082919663833,-0.0012471653187849934,-0.04659954924155237,0.01882512376158887,0.009749777026154791,0.0019947505706447107,-0.001477759332345778,0.00910150521506679,-0.0031098133197359013
CDK1,0.01299331147948739,0.009255746175835945,-0.0018774175316499714,0.000695769948479032,0.0075355961520174874,-0.003850030703544107,-0.0031428497701899,0.003138199538498528,-0.009422284068742766,0.0006368273354438295,-0.10676140882045863,-0.0003470250536988781,0.06609817320394751,0.002362175854977941,0.0015956796241424263,0.11301155859862994,0.13337341996445196,-0.0032045531783533835,-0.006282431959859403,0.020602728446917865,0.005770578224911736,0.0029748046913199966,-0.0021538967418151343,0.01745856383647218,6.810397108772187e-05
UBE2C,0.01608646565993905,0.011644754626452024,-0.008628122797119157,0.005310467844558008,0.0031003296550138515,-0.0008968304499413265,0.0029931384356962822,0.008009908692665109,-0.00538811882993814,-0.0030001357112675654,-0.12243668908106425,-0.007367227674609932,0.0759484208243541,-0.002303245925647754,0.0004805979488217588,0.10740966664738022,0.1662059448742413,-0.0002153920725423523,-0.010294571969025439,0.036779768808949745,0.009927947068271867,0.013298662796544073,-0.0021762873044506134,0.06983615707251725,0.0034216437491455874
