,Cell Type
920,NK
921,None
922,CD8 T Cells
923,CD8 T Cells
924,Monocytes
925,Monocytes
926,T Cells 
927,Monocytes
928,NK
929,Monocytes
930,Monocytes
931,Monocytes
932,NK
933,None
934,None
935,None
936,Monocytes
937,None
938,None
939,None
940,None
941,Monocytes
942,None
943,Monocytes
944,Monocytes
945,Monocytes
946,NK
947,Monocytes
948,Monocytes
949,Monocytes
950,NK
951,T helpers
952,Monocytes
953,NK
954,Monocytes
955,T Cells
956,T helpers
957,Monocytes
958,NK
959,Monocytes
960,Monocytes
961,NK
962,Monocytes
963,Dendritic Cells
964,Monocytes
965,NK
966,Monocytes
967,NK
968,Monocytes
969,NK
970,T Cells 
971,Monocytes
972,T Cells
973,Monocytes
974,T Cells
975,NK
976,Monocytes
977,NK
978,T Cells 
979,Monocytes
980,NK
981,NK
982,T Cells
983,NK
984,Monocytes
985,T Cells
986,NK
987,NK
988,T Cells
989,Monocytes
990,NK
991,NK
992,Monocytes
993,Monocytes
994,Monocytes
995,Monocytes
996,Monocytes
997,Monocytes
998,NK
999,Monocytes
1000,Monocytes
1001,Monocytes
1002,Monocytes
1003,Monocytes
1004,Monocytes
1005,NK
1006,NK
1007,Monocytes
1008,Monocytes
1009,Monocytes
1010,Monocytes
1011,Monocytes
1012,Monocytes
1013,NK
1014,Monocytes
1015,Monocytes
1016,Monocytes
1017,Monocytes
1018,NK
1019,Monocytes
1020,T Cells
1021,NK
1022,NK
1023,NK
1024,T Cells
1025,Monocytes
1026,NK
1027,NK
1028,CD8 T Cells
1029,Monocytes
1030,Monocytes
1031,Monocytes
1032,NK
1033,Monocytes
1034,Monocytes
1035,Monocytes
1036,T Cells
1037,T Cells
1038,Monocytes
1039,Monocytes
1040,Dendritic Cells
1041,NK
1042,Monocytes
1043,NK
1044,Monocytes
1045,Monocytes
1046,T Cells
1047,Monocytes
1048,Monocytes
1049,NK
1050,Monocytes
1051,NK
1052,NK
1053,Monocytes
1054,NK
1055,Monocytes
1056,Monocytes
1057,Monocytes
1058,CD8 T Cells
1059,T Cells
1060,Monocytes
1061,Monocytes
1062,Monocytes
1063,NK
1064,Monocytes
1065,NK
1066,Monocytes
1067,Monocytes
1068,Monocytes
1069,T Cells
1070,Monocytes
1071,Monocytes
1072,Monocytes
1073,B Cells
1074,NK
1075,Monocytes
1076,T Cells 
1077,Monocytes
1078,NK
1079,Monocytes
1080,NK
1081,NK
1082,Monocytes
1083,T Cells
1084,Monocytes
1085,NK
1086,Monocytes
1087,Monocytes
1088,Monocytes
1089,NK
1090,Monocytes
1091,Monocytes
1092,NK
1093,Monocytes
1094,T Cells
1095,Monocytes
1096,Monocytes
1097,Monocytes
1098,T Cells
1099,NK
1100,Monocytes
1101,Monocytes
1102,NK
1103,NK
1104,Monocytes
1105,Monocytes
1106,Monocytes
1107,Monocytes
1108,NK
1109,Monocytes
1110,Monocytes
1111,Monocytes
1112,Monocytes
1113,Monocytes
1114,Monocytes
1115,CD8 T Cells
1116,T Cells
1117,NK
1118,NK
1119,NK
1120,T Cells
1121,T Cells
1122,NK
1123,NK
1124,Monocytes
1125,Monocytes
1126,T Cells
1127,Monocytes
1128,NK
1129,Monocytes
1130,Monocytes
1131,NK
1132,Monocytes
