,Cell Type
17229,Monocytes
17230,Monocytes
17231,Monocytes
17232,NK
17233,CD8 T Cells
17234,NK
17235,T Cells
17236,Monocytes
17237,Monocytes
17238,T Cells
17239,NK
17240,Monocytes
17241,Monocytes
17242,CD8 T Cells
17243,NK
17244,Monocytes
17245,Monocytes
17246,Monocytes
17247,T Cells
17248,Monocytes
17249,Monocytes
17250,B Cells
17251,Monocytes
17252,T Cells
17253,NK
17254,Monocytes
17255,Monocytes
17256,NK
17257,T Cells
17258,NK
17259,NK
17260,Monocytes
17261,Monocytes
17262,Monocytes
17263,CD8 T Cells
17264,NK
17265,NK
17266,NK
17267,CD8 T Cells
17268,B Cells
17269,T helpers
17270,Monocytes
17271,Monocytes
17272,Monocytes
17273,T helpers
17274,NK
17275,NK
17276,B Cells
17277,Monocytes
17278,NK
17279,Monocytes
17280,NK
17281,Monocytes
17282,Monocytes
17283,Monocytes
17284,Dendritic Cells
17285,T Cells
17286,NK
17287,Monocytes
17288,Monocytes
17289,CD8 T Cells
17290,Monocytes
17291,Monocytes
17292,Monocytes
17293,NK
17294,T Cells
17295,Monocytes
17296,CD8 T Cells
17297,T Cells
17298,Monocytes
17299,T Cells
17300,Monocytes
17301,NK
17302,Monocytes
17303,Monocytes
17304,Monocytes
17305,Monocytes
17306,NK
17307,Monocytes
17308,Monocytes
17309,Monocytes
17310,T helpers
17311,Monocytes
17312,Monocytes
17313,Monocytes
17314,Monocytes
17315,Monocytes
17316,Dendritic Cells
17317,Monocytes
17318,Monocytes
17319,Monocytes
17320,Monocytes
17321,Monocytes
17322,Monocytes
17323,Monocytes
17324,Monocytes
17325,Monocytes
17326,Monocytes
17327,T Cells 
17328,Monocytes
17329,NK
17330,Monocytes
17331,T Cells
17332,Monocytes
17333,Dendritic Cells
17334,Dendritic Cells
17335,NK
17336,NK
17337,T Cells
17338,Monocytes
17339,Monocytes
17340,Monocytes
17341,Monocytes
17342,Monocytes
17343,NK
17344,NK
17345,Monocytes
17346,Monocytes
17347,CD8 T Cells
17348,Monocytes
17349,CD8 T Cells
17350,Dendritic Cells
17351,Monocytes
17352,Monocytes
17353,Dendritic Cells
17354,CD8 T Cells
17355,Monocytes
17356,T helpers
17357,T Cells
17358,Monocytes
17359,Dendritic Cells
17360,Monocytes
17361,Monocytes
17362,NK
17363,B Cells
17364,Monocytes
17365,Monocytes
17366,Monocytes
17367,Monocytes
17368,Monocytes
17369,T Cells
17370,Monocytes
17371,Monocytes
17372,T Cells
17373,Monocytes
17374,T Cells
17375,Monocytes
17376,Monocytes
17377,Monocytes
17378,NK
17379,Monocytes
17380,NK
17381,Monocytes
17382,Monocytes
17383,NK
17384,B Cells
17385,NK
17386,Monocytes
17387,Monocytes
17388,NK
17389,Monocytes
17390,B Cells
17391,Monocytes
17392,Monocytes
17393,CD8 T Cells
17394,Monocytes
17395,Monocytes
17396,CD8 T Cells
17397,Monocytes
17398,Dendritic Cells
17399,T Cells
17400,Monocytes
17401,Monocytes
17402,Monocytes
17403,Monocytes
17404,NK
17405,NK
17406,Monocytes
17407,T Cells
17408,NK
17409,CD8 T Cells
17410,NK
17411,Monocytes
17412,Monocytes
17413,CD8 T Cells
17414,Monocytes
17415,Monocytes
17416,NK
17417,NK
17418,Monocytes
17419,NK
17420,Monocytes
17421,Monocytes
17422,NK
17423,Monocytes
17424,Monocytes
17425,Monocytes
17426,Monocytes
17427,Dendritic Cells
17428,Monocytes
17429,NK
17430,B Cells
17431,NK
17432,NK
17433,NK
17434,Monocytes
17435,NK
17436,NK
17437,NK
17438,B Cells
17439,Dendritic Cells
17440,T Cells
17441,Monocytes
17442,NK
17443,Monocytes
17444,Monocytes
17445,Monocytes
17446,Monocytes
17447,CD8 T Cells
17448,Monocytes
17449,NK
17450,NK
17451,NK
17452,Monocytes
17453,NK
17454,NK
17455,Monocytes
17456,NK
17457,Monocytes
17458,T helpers
17459,NK
17460,NK
17461,Monocytes
17462,NK
17463,CD8 T Cells
17464,NK
17465,NK
17466,CD8 T Cells
17467,Monocytes
17468,Monocytes
17469,NK
17470,Monocytes
17471,Monocytes
17472,Monocytes
17473,Monocytes
17474,NK
17475,Monocytes
17476,Monocytes
17477,NK
17478,Monocytes
17479,T Cells
17480,Monocytes
17481,T Cells
17482,Monocytes
17483,Dendritic Cells
17484,NK
17485,Monocytes
17486,NK
17487,Dendritic Cells
17488,CD8 T Cells
17489,Monocytes
17490,T Cells
17491,T Cells
17492,Monocytes
17493,Monocytes
17494,Monocytes
17495,NK
17496,Monocytes
17497,Monocytes
17498,Monocytes
17499,Monocytes
17500,NK
17501,Monocytes
17502,Monocytes
17503,NK
17504,Monocytes
17505,Monocytes
17506,Monocytes
17507,Monocytes
17508,Monocytes
17509,Monocytes
17510,Monocytes
17511,Dendritic Cells
17512,Monocytes
17513,T Cells
17514,NK
17515,NK
17516,CD8 T Cells
17517,Monocytes
17518,NK
17519,Monocytes
17520,NK
17521,Monocytes
17522,NK
17523,NK
17524,NK
17525,Monocytes
17526,Monocytes
17527,NK
17528,Monocytes
17529,Monocytes
17530,Monocytes
17531,NK
17532,NK
17533,Monocytes
17534,NK
17535,Monocytes
17536,Monocytes
17537,CD8 T Cells
17538,T Cells 
17539,NK
17540,Dendritic Cells
17541,NK
17542,Dendritic Cells
17543,NK
17544,NK
17545,Monocytes
17546,T Cells
17547,Monocytes
17548,CD8 T Cells
17549,CD8 T Cells
17550,NK
17551,Monocytes
17552,Monocytes
17553,NK
17554,Monocytes
17555,Monocytes
17556,Monocytes
17557,T Cells 
17558,NK
17559,NK
17560,NK
17561,T Cells
17562,Monocytes
17563,NK
17564,NK
17565,CD8 T Cells
17566,Monocytes
17567,NK
17568,CD8 T Cells
17569,Dendritic Cells
17570,Monocytes
17571,Monocytes
17572,Dendritic Cells
17573,NK
17574,NK
17575,Monocytes
17576,Dendritic Cells
17577,Monocytes
17578,NK
17579,CD8 T Cells
17580,NK
17581,NK
17582,Monocytes
17583,Monocytes
17584,NK
17585,Monocytes
17586,CD8 T Cells
17587,Monocytes
17588,T Cells
17589,Monocytes
17590,Monocytes
17591,NK
17592,Monocytes
17593,CD8 T Cells
17594,Dendritic Cells
17595,CD8 T Cells
17596,NK
17597,B Cells
17598,Monocytes
17599,Monocytes
17600,Dendritic Cells
17601,Monocytes
17602,NK
17603,Monocytes
17604,NK
17605,Dendritic Cells
17606,Monocytes
17607,NK
17608,NK
17609,NK
17610,Monocytes
17611,Monocytes
17612,NK
17613,Monocytes
17614,Monocytes
17615,NK
17616,Monocytes
17617,Monocytes
17618,Monocytes
17619,Monocytes
17620,Monocytes
17621,Monocytes
17622,NK
17623,Monocytes
17624,Monocytes
17625,B Cells
17626,Monocytes
17627,Monocytes
17628,Monocytes
17629,Monocytes
17630,Monocytes
17631,Monocytes
17632,Monocytes
17633,Monocytes
17634,Monocytes
17635,Monocytes
17636,Monocytes
17637,Monocytes
17638,CD8 T Cells
17639,CD8 T Cells
17640,Monocytes
17641,T helpers
17642,Monocytes
17643,NK
17644,CD8 T Cells
17645,NK
17646,Monocytes
17647,Monocytes
17648,Monocytes
17649,NK
17650,Monocytes
17651,Monocytes
17652,Monocytes
17653,NK
17654,NK
17655,NK
17656,Monocytes
17657,Monocytes
17658,Monocytes
17659,NK
17660,Monocytes
17661,NK
17662,Monocytes
17663,Monocytes
17664,NK
17665,T helpers
17666,NK
17667,CD8 T Cells
17668,Dendritic Cells
17669,Monocytes
17670,NK
17671,T Cells 
17672,Monocytes
17673,Monocytes
17674,NK
17675,Monocytes
17676,NK
17677,Monocytes
17678,NK
17679,NK
17680,NK
17681,T Cells
17682,Monocytes
17683,Monocytes
17684,NK
17685,Monocytes
17686,Monocytes
17687,T Cells
17688,Monocytes
17689,Monocytes
17690,Monocytes
17691,Monocytes
17692,Monocytes
17693,NK
17694,CD8 T Cells
17695,NK
17696,Monocytes
17697,NK
17698,Monocytes
17699,NK
17700,NK
17701,Dendritic Cells
17702,NK
17703,Monocytes
17704,Monocytes
17705,Monocytes
17706,Monocytes
17707,Monocytes
17708,Monocytes
17709,T Cells
17710,B Cells
17711,B Cells
17712,Monocytes
17713,Monocytes
17714,Monocytes
17715,NK
17716,NK
17717,Monocytes
17718,Monocytes
17719,Monocytes
17720,Monocytes
17721,Monocytes
17722,T Cells
17723,Monocytes
17724,Monocytes
17725,T Cells
17726,Monocytes
17727,Monocytes
17728,NK
17729,T Cells
17730,NK
17731,NK
17732,Monocytes
17733,NK
17734,NK
17735,Monocytes
17736,Monocytes
17737,Dendritic Cells
17738,Monocytes
17739,Monocytes
17740,Monocytes
17741,CD8 T Cells
17742,Monocytes
17743,NK
17744,Monocytes
17745,Monocytes
17746,Monocytes
17747,Monocytes
17748,NK
17749,Monocytes
17750,Monocytes
17751,Monocytes
17752,Monocytes
17753,Monocytes
17754,CD8 T Cells
17755,T Cells 
17756,NK
17757,Monocytes
17758,Monocytes
17759,B Cells
17760,NK
17761,T Cells
17762,Monocytes
17763,Monocytes
17764,Monocytes
17765,T Cells 
17766,Monocytes
17767,Monocytes
17768,Monocytes
17769,Monocytes
17770,T Cells 
17771,Monocytes
17772,Monocytes
17773,T Cells
17774,Monocytes
17775,Monocytes
17776,NK
17777,Monocytes
17778,T Cells
17779,Monocytes
17780,T Cells 
17781,NK
17782,CD8 T Cells
17783,Monocytes
17784,Monocytes
17785,NK
17786,T Cells
17787,NK
17788,Monocytes
17789,T Cells 
17790,Monocytes
17791,Monocytes
17792,Monocytes
17793,T Cells
17794,Monocytes
17795,Monocytes
17796,T helpers
17797,Monocytes
17798,NK
17799,NK
17800,NK
17801,Monocytes
17802,Monocytes
17803,NK
17804,NK
17805,NK
17806,Monocytes
17807,NK
17808,Monocytes
17809,Monocytes
17810,CD8 T Cells
17811,Monocytes
17812,Monocytes
17813,Monocytes
17814,Monocytes
17815,Monocytes
17816,Monocytes
17817,Monocytes
17818,Monocytes
17819,Monocytes
17820,Dendritic Cells
17821,Monocytes
17822,NK
17823,T helpers
17824,Monocytes
17825,Monocytes
17826,Monocytes
17827,Monocytes
17828,Monocytes
17829,Dendritic Cells
17830,Monocytes
17831,CD8 T Cells
17832,NK
17833,Monocytes
17834,NK
17835,Monocytes
17836,Monocytes
17837,Monocytes
17838,Monocytes
17839,Monocytes
17840,Monocytes
17841,T helpers
17842,CD8 T Cells
17843,NK
17844,Monocytes
17845,T Cells
17846,Monocytes
17847,NK
17848,CD8 T Cells
17849,T Cells
17850,Monocytes
17851,Monocytes
17852,NK
17853,Monocytes
17854,NK
17855,T Cells
17856,CD8 T Cells
17857,Monocytes
17858,NK
17859,T Cells 
17860,CD8 T Cells
17861,Monocytes
17862,CD8 T Cells
17863,Monocytes
17864,Monocytes
17865,T helpers
17866,CD8 T Cells
17867,Monocytes
17868,Monocytes
17869,NK
17870,Monocytes
17871,Monocytes
17872,T Cells
17873,Monocytes
17874,Monocytes
17875,Monocytes
17876,NK
17877,Monocytes
17878,Monocytes
17879,Dendritic Cells
17880,NK
17881,Dendritic Cells
17882,NK
17883,NK
17884,NK
17885,T Cells
17886,Monocytes
17887,NK
17888,NK
17889,Monocytes
17890,T Cells
17891,Monocytes
17892,NK
17893,NK
17894,Monocytes
17895,NK
17896,Dendritic Cells
17897,NK
17898,Monocytes
17899,NK
17900,NK
17901,Monocytes
17902,NK
17903,NK
17904,Monocytes
17905,Monocytes
17906,NK
17907,NK
17908,CD8 T Cells
17909,CD8 T Cells
17910,T Cells 
17911,T Cells 
17912,Monocytes
17913,Monocytes
17914,NK
17915,Monocytes
17916,Monocytes
17917,Monocytes
17918,Monocytes
17919,Monocytes
17920,Monocytes
17921,Monocytes
17922,Monocytes
17923,NK
17924,Monocytes
17925,Dendritic Cells
17926,Monocytes
17927,Monocytes
17928,Monocytes
17929,Monocytes
17930,Monocytes
17931,Monocytes
17932,Monocytes
17933,Monocytes
17934,T Cells
17935,NK
17936,NK
17937,NK
17938,Monocytes
17939,Monocytes
17940,Monocytes
17941,Monocytes
17942,Monocytes
17943,T Cells 
17944,Monocytes
17945,Monocytes
17946,Monocytes
17947,Monocytes
17948,NK
17949,Monocytes
17950,NK
17951,Monocytes
17952,NK
17953,Monocytes
17954,Monocytes
17955,Monocytes
17956,T Cells
17957,Monocytes
17958,Monocytes
17959,Monocytes
17960,T Cells
17961,NK
17962,Monocytes
17963,B Cells
17964,Monocytes
17965,Monocytes
17966,Monocytes
17967,CD8 T Cells
17968,NK
17969,Monocytes
17970,NK
17971,T Cells
17972,Monocytes
17973,Monocytes
17974,Monocytes
17975,Monocytes
17976,NK
17977,Monocytes
17978,CD8 T Cells
17979,Monocytes
17980,NK
17981,Monocytes
17982,Monocytes
17983,Monocytes
17984,T Cells
17985,Monocytes
17986,CD8 T Cells
17987,Monocytes
17988,B Cells
17989,NK
17990,T Cells 
17991,Monocytes
17992,NK
17993,T Cells 
17994,NK
17995,NK
17996,NK
17997,Monocytes
17998,T Cells
17999,Monocytes
18000,Monocytes
18001,Monocytes
18002,NK
18003,T Cells
18004,Monocytes
18005,Monocytes
18006,T Cells 
18007,NK
18008,NK
18009,NK
18010,NK
18011,T Cells
18012,Monocytes
18013,Monocytes
18014,Monocytes
18015,NK
18016,Dendritic Cells
18017,NK
18018,Monocytes
18019,Monocytes
18020,Monocytes
18021,Monocytes
18022,NK
18023,Monocytes
18024,Monocytes
18025,NK
18026,NK
18027,Monocytes
18028,NK
18029,Monocytes
18030,NK
18031,Monocytes
18032,Monocytes
18033,NK
18034,Monocytes
18035,Monocytes
18036,Monocytes
18037,Monocytes
18038,Monocytes
18039,NK
18040,Monocytes
18041,Monocytes
18042,NK
18043,Dendritic Cells
18044,Monocytes
18045,Monocytes
18046,Monocytes
18047,CD8 T Cells
18048,Monocytes
18049,Monocytes
18050,Monocytes
18051,T Cells 
18052,Monocytes
18053,NK
18054,Monocytes
18055,Monocytes
18056,T Cells 
18057,NK
18058,Dendritic Cells
18059,Monocytes
18060,Monocytes
18061,Monocytes
18062,Monocytes
18063,T Cells
18064,T Cells
18065,Monocytes
18066,NK
18067,Monocytes
18068,Monocytes
18069,Monocytes
18070,Dendritic Cells
18071,Monocytes
18072,T Cells
18073,Monocytes
18074,T Cells
18075,CD8 T Cells
18076,T helpers
18077,NK
18078,Monocytes
18079,NK
18080,Monocytes
18081,NK
18082,Monocytes
18083,Monocytes
18084,Monocytes
18085,Monocytes
18086,T Cells 
18087,T helpers
18088,CD8 T Cells
18089,NK
18090,T Cells 
18091,Monocytes
18092,B Cells
18093,Monocytes
18094,CD8 T Cells
18095,Monocytes
18096,Monocytes
18097,T Cells
18098,Monocytes
18099,Monocytes
18100,Monocytes
18101,Monocytes
18102,Monocytes
18103,T Cells
18104,Dendritic Cells
18105,Monocytes
18106,NK
18107,Monocytes
18108,NK
18109,Monocytes
18110,NK
18111,NK
18112,NK
18113,NK
18114,B Cells
18115,Monocytes
18116,Monocytes
18117,T Cells
18118,Monocytes
18119,Monocytes
18120,B Cells
18121,Monocytes
18122,NK
18123,Monocytes
18124,Monocytes
18125,Monocytes
18126,Monocytes
18127,Monocytes
18128,Monocytes
18129,Monocytes
18130,NK
18131,Monocytes
18132,Monocytes
18133,Monocytes
18134,Monocytes
18135,Monocytes
18136,NK
18137,Monocytes
18138,CD8 T Cells
18139,Monocytes
18140,NK
18141,Monocytes
18142,Monocytes
18143,NK
18144,Monocytes
18145,Monocytes
18146,Dendritic Cells
18147,Monocytes
18148,Monocytes
18149,Monocytes
18150,NK
18151,T Cells
18152,NK
18153,Monocytes
18154,NK
18155,Monocytes
18156,Monocytes
18157,Monocytes
18158,Monocytes
18159,NK
18160,Monocytes
18161,Monocytes
18162,Monocytes
18163,Monocytes
18164,Monocytes
18165,CD8 T Cells
18166,Monocytes
18167,Monocytes
18168,Monocytes
18169,T Cells
18170,Dendritic Cells
18171,Monocytes
18172,Monocytes
18173,NK
18174,Monocytes
18175,NK
18176,Monocytes
18177,Monocytes
18178,B Cells
18179,Monocytes
18180,T Cells
18181,Monocytes
18182,CD8 T Cells
18183,NK
18184,NK
18185,Dendritic Cells
18186,Monocytes
18187,CD8 T Cells
18188,CD8 T Cells
18189,Monocytes
18190,Monocytes
18191,Monocytes
18192,Monocytes
18193,NK
18194,T Cells 
18195,Monocytes
18196,Monocytes
18197,Dendritic Cells
18198,NK
18199,Monocytes
18200,NK
18201,NK
18202,Monocytes
18203,Monocytes
18204,Monocytes
18205,NK
18206,Monocytes
18207,Monocytes
18208,Monocytes
18209,Monocytes
18210,Monocytes
18211,NK
18212,Monocytes
18213,NK
18214,Monocytes
18215,T Cells
18216,Monocytes
18217,T Cells
18218,Monocytes
18219,NK
18220,Monocytes
18221,NK
18222,Monocytes
18223,NK
18224,Monocytes
18225,NK
18226,Monocytes
18227,NK
18228,Monocytes
18229,T Cells
18230,NK
18231,Monocytes
18232,Monocytes
18233,T Cells 
18234,Monocytes
18235,NK
18236,NK
18237,Monocytes
18238,Monocytes
18239,Monocytes
18240,T Cells
18241,Monocytes
18242,Monocytes
18243,Monocytes
18244,Monocytes
18245,Monocytes
18246,Monocytes
18247,T Cells 
18248,NK
18249,Monocytes
18250,T Cells 
18251,Monocytes
18252,NK
18253,CD8 T Cells
18254,Monocytes
18255,Monocytes
18256,T Cells
18257,Monocytes
18258,Monocytes
18259,B Cells
18260,T Cells
18261,T Cells
18262,Monocytes
18263,NK
18264,NK
18265,T Cells
18266,Monocytes
18267,T helpers
18268,Monocytes
18269,T Cells
18270,NK
18271,T Cells
18272,Monocytes
18273,Monocytes
18274,Monocytes
18275,Monocytes
18276,T Cells 
18277,T Cells
18278,Monocytes
18279,Monocytes
18280,Monocytes
18281,Monocytes
18282,NK
18283,Dendritic Cells
18284,Monocytes
18285,T Cells 
18286,Monocytes
18287,Monocytes
18288,Monocytes
18289,NK
18290,NK
18291,Dendritic Cells
18292,T Cells
18293,Monocytes
18294,B Cells
18295,Dendritic Cells
18296,Monocytes
18297,Monocytes
18298,NK
18299,Monocytes
18300,Monocytes
18301,Monocytes
18302,NK
18303,Monocytes
18304,Monocytes
18305,Monocytes
18306,CD8 T Cells
18307,Monocytes
18308,Monocytes
18309,Monocytes
18310,Monocytes
18311,Monocytes
18312,T Cells
18313,NK
18314,Monocytes
18315,Monocytes
18316,CD8 T Cells
18317,NK
18318,Monocytes
18319,Monocytes
18320,Monocytes
18321,NK
18322,NK
18323,Dendritic Cells
18324,NK
18325,Monocytes
18326,Monocytes
18327,NK
18328,Monocytes
18329,T Cells 
18330,Monocytes
18331,Monocytes
18332,Monocytes
18333,NK
18334,Monocytes
18335,Monocytes
18336,Monocytes
18337,Monocytes
18338,Monocytes
18339,Monocytes
18340,NK
18341,T Cells
18342,B Cells
18343,T Cells
18344,Monocytes
18345,B Cells
18346,Monocytes
18347,NK
18348,Monocytes
18349,T Cells
18350,T Cells
18351,Monocytes
18352,Monocytes
18353,NK
18354,T Cells
18355,T Cells
18356,Monocytes
18357,NK
18358,CD8 T Cells
18359,T Cells 
18360,NK
18361,Monocytes
18362,NK
18363,Monocytes
18364,Monocytes
18365,NK
18366,T Cells 
18367,T Cells 
18368,T Cells 
18369,T Cells
18370,Monocytes
18371,T Cells
18372,T Cells 
18373,T Cells 
18374,Monocytes
18375,Monocytes
18376,NK
18377,CD8 T Cells
18378,Monocytes
18379,Monocytes
18380,Monocytes
18381,Monocytes
18382,Monocytes
18383,NK
18384,T Cells
18385,Monocytes
18386,NK
18387,Monocytes
18388,NK
18389,Monocytes
18390,Monocytes
18391,NK
18392,NK
18393,Monocytes
18394,Monocytes
18395,T Cells
18396,Monocytes
18397,NK
18398,Dendritic Cells
18399,T Cells
18400,NK
18401,Monocytes
18402,Monocytes
18403,T Cells 
18404,Monocytes
18405,Monocytes
18406,NK
18407,T Cells
18408,T Cells
18409,Monocytes
18410,T Cells
18411,Dendritic Cells
18412,T Cells 
18413,NK
18414,NK
18415,Monocytes
18416,T Cells 
18417,T Cells
18418,T Cells
18419,Monocytes
18420,Monocytes
18421,Monocytes
18422,Monocytes
18423,Monocytes
18424,Monocytes
18425,Monocytes
18426,CD8 T Cells
18427,NK
18428,Monocytes
18429,Monocytes
18430,Monocytes
18431,B Cells
18432,T Cells
18433,Monocytes
18434,Monocytes
18435,Monocytes
18436,Monocytes
18437,Monocytes
18438,NK
18439,NK
18440,Monocytes
18441,NK
18442,T Cells
18443,Monocytes
18444,Monocytes
18445,NK
18446,T helpers
18447,NK
18448,NK
18449,B Cells
18450,Dendritic Cells
18451,NK
18452,Monocytes
18453,NK
18454,NK
18455,NK
18456,Monocytes
18457,Monocytes
18458,Monocytes
18459,NK
18460,NK
18461,Monocytes
18462,Monocytes
18463,NK
18464,NK
18465,Monocytes
18466,NK
18467,Monocytes
18468,NK
18469,Monocytes
18470,Monocytes
18471,Monocytes
18472,NK
18473,CD8 T Cells
18474,Monocytes
18475,Monocytes
18476,NK
18477,Monocytes
18478,Monocytes
18479,Monocytes
18480,NK
18481,Monocytes
18482,Monocytes
18483,Monocytes
18484,Monocytes
18485,Monocytes
18486,Monocytes
18487,Monocytes
18488,CD8 T Cells
18489,T Cells
18490,Monocytes
18491,Dendritic Cells
18492,T Cells
18493,B Cells
18494,NK
18495,T Cells 
18496,NK
18497,NK
18498,NK
18499,NK
18500,T Cells
18501,Monocytes
18502,Monocytes
18503,NK
18504,Monocytes
18505,NK
18506,NK
18507,NK
18508,Dendritic Cells
18509,CD8 T Cells
18510,T Cells
18511,Monocytes
18512,NK
18513,Monocytes
18514,Monocytes
18515,NK
18516,NK
18517,Monocytes
18518,CD8 T Cells
18519,CD8 T Cells
18520,NK
18521,Monocytes
18522,NK
18523,Monocytes
18524,T Cells 
18525,Monocytes
18526,Monocytes
18527,NK
18528,CD8 T Cells
18529,Monocytes
18530,CD8 T Cells
18531,Dendritic Cells
18532,Monocytes
18533,Monocytes
18534,Monocytes
18535,Monocytes
18536,NK
18537,CD8 T Cells
18538,NK
18539,NK
18540,Monocytes
18541,Monocytes
18542,Monocytes
18543,T Cells
18544,Monocytes
18545,NK
18546,Monocytes
18547,T Cells 
18548,Monocytes
18549,Monocytes
18550,Monocytes
18551,NK
18552,Monocytes
18553,Monocytes
18554,CD8 T Cells
18555,CD8 T Cells
18556,Monocytes
18557,NK
18558,Monocytes
18559,NK
18560,Monocytes
18561,Monocytes
18562,Monocytes
18563,NK
18564,T Cells
18565,T Cells 
18566,NK
18567,Monocytes
18568,NK
18569,Monocytes
18570,Monocytes
18571,B Cells
18572,Monocytes
18573,T Cells
18574,Monocytes
18575,Monocytes
18576,T Cells
18577,Monocytes
18578,Monocytes
18579,NK
18580,Monocytes
18581,Monocytes
18582,NK
18583,Dendritic Cells
18584,Monocytes
18585,Monocytes
18586,Monocytes
18587,NK
18588,NK
18589,Monocytes
18590,Monocytes
18591,Monocytes
18592,Monocytes
18593,Monocytes
18594,Monocytes
18595,NK
18596,CD8 T Cells
18597,Monocytes
18598,Monocytes
18599,Monocytes
18600,T Cells
18601,Dendritic Cells
18602,Monocytes
18603,Monocytes
18604,Monocytes
18605,Monocytes
18606,Monocytes
18607,Monocytes
18608,NK
18609,NK
18610,Monocytes
18611,T Cells
18612,Monocytes
18613,NK
18614,NK
18615,Monocytes
18616,T Cells
18617,Monocytes
18618,Monocytes
18619,CD8 T Cells
18620,Monocytes
18621,Monocytes
18622,Monocytes
18623,Dendritic Cells
18624,NK
18625,NK
18626,Monocytes
18627,Monocytes
18628,CD8 T Cells
18629,Monocytes
18630,Monocytes
18631,Monocytes
18632,NK
18633,CD8 T Cells
18634,Monocytes
18635,T Cells
18636,Monocytes
18637,Monocytes
18638,NK
18639,CD8 T Cells
18640,T helpers
18641,T Cells 
18642,Monocytes
18643,Monocytes
18644,Monocytes
18645,NK
18646,NK
18647,NK
18648,Monocytes
18649,Monocytes
18650,Monocytes
18651,Monocytes
18652,NK
18653,T Cells
18654,Monocytes
18655,NK
18656,NK
18657,Monocytes
18658,Monocytes
18659,Monocytes
18660,Monocytes
18661,T Cells 
18662,NK
18663,Monocytes
18664,NK
18665,T Cells
18666,Monocytes
18667,NK
18668,Monocytes
18669,Monocytes
18670,NK
18671,NK
18672,T Cells 
18673,Monocytes
18674,Monocytes
18675,Monocytes
18676,T Cells 
18677,Monocytes
18678,B Cells
18679,NK
18680,Dendritic Cells
18681,Monocytes
18682,T Cells
18683,Monocytes
18684,NK
18685,Monocytes
18686,T Cells 
18687,Monocytes
18688,T Cells
18689,NK
18690,CD8 T Cells
18691,Monocytes
18692,Monocytes
18693,NK
18694,Monocytes
18695,T helpers
18696,Monocytes
18697,NK
18698,Monocytes
18699,Monocytes
18700,Monocytes
18701,T Cells
18702,Monocytes
18703,NK
18704,NK
18705,NK
18706,Monocytes
18707,T Cells
18708,NK
18709,T Cells
18710,Monocytes
18711,Monocytes
18712,Monocytes
18713,Monocytes
18714,Monocytes
18715,NK
18716,Monocytes
18717,NK
18718,Monocytes
18719,Monocytes
18720,Monocytes
18721,Monocytes
18722,Monocytes
18723,Monocytes
18724,Monocytes
18725,Monocytes
18726,CD8 T Cells
18727,Monocytes
18728,Monocytes
18729,Monocytes
18730,NK
18731,NK
18732,Monocytes
18733,Monocytes
18734,Monocytes
18735,NK
18736,Monocytes
18737,Monocytes
18738,Monocytes
18739,NK
18740,Monocytes
18741,Dendritic Cells
18742,Monocytes
18743,Monocytes
18744,Monocytes
18745,Monocytes
18746,Monocytes
18747,B Cells
18748,Monocytes
18749,Monocytes
18750,T Cells
18751,Monocytes
18752,Monocytes
18753,Monocytes
18754,CD8 T Cells
18755,NK
18756,NK
18757,NK
18758,NK
18759,Monocytes
18760,CD8 T Cells
18761,Monocytes
18762,Monocytes
18763,CD8 T Cells
18764,CD8 T Cells
18765,Monocytes
18766,B Cells
18767,NK
18768,NK
18769,Monocytes
18770,Monocytes
18771,Monocytes
18772,T Cells 
18773,Monocytes
18774,Monocytes
18775,Monocytes
18776,Dendritic Cells
18777,Monocytes
18778,Monocytes
18779,NK
18780,Monocytes
18781,Dendritic Cells
18782,Monocytes
18783,Monocytes
18784,Monocytes
18785,NK
18786,Monocytes
18787,Monocytes
18788,Monocytes
18789,Monocytes
18790,NK
18791,Monocytes
18792,CD8 T Cells
18793,T Cells
18794,B Cells
18795,CD8 T Cells
18796,Monocytes
18797,Monocytes
18798,NK
18799,Monocytes
18800,Monocytes
18801,NK
18802,Monocytes
18803,Monocytes
18804,NK
18805,T Cells 
18806,Monocytes
18807,CD8 T Cells
18808,Monocytes
18809,Monocytes
18810,B Cells
18811,T Cells
18812,NK
18813,B Cells
18814,NK
18815,CD8 T Cells
18816,CD8 T Cells
18817,Monocytes
18818,NK
18819,Monocytes
18820,T Cells
18821,T Cells
18822,Monocytes
18823,Monocytes
18824,Monocytes
18825,Monocytes
18826,T Cells 
18827,CD8 T Cells
18828,Monocytes
18829,Monocytes
18830,NK
18831,T Cells 
18832,NK
18833,NK
18834,Monocytes
18835,Monocytes
18836,NK
18837,T Cells
18838,NK
18839,T Cells 
18840,Monocytes
18841,NK
18842,NK
18843,B Cells
18844,T Cells
18845,CD8 T Cells
18846,Monocytes
18847,Monocytes
18848,NK
18849,Monocytes
18850,Monocytes
18851,Monocytes
18852,NK
18853,T Cells
18854,Monocytes
18855,NK
18856,T Cells 
18857,Dendritic Cells
18858,NK
18859,Monocytes
18860,NK
18861,CD8 T Cells
18862,CD8 T Cells
18863,NK
18864,CD8 T Cells
18865,T Cells 
18866,Monocytes
18867,NK
18868,NK
18869,T Cells 
18870,T Cells
18871,CD8 T Cells
18872,NK
18873,CD8 T Cells
18874,Monocytes
18875,NK
18876,CD8 T Cells
18877,T helpers
18878,Monocytes
18879,Monocytes
18880,Monocytes
18881,Monocytes
18882,T Cells
18883,NK
18884,T Cells
